paper,metric,midpoint,lower_bound,upper_bound,rationale
Abbink et al. 2025,overall,81.0,73.0,88.0,"Well-designed incentivized field experiment on cash vs in-kind with novel DWG finding and credible mechanisms (infra-marginality, commitment, bargaining). Strong analysis and robustness. Limits: single-city sample, constructed WTP bounds, few multiple-switchers, external validity. Policy-relevant and clearly written."
Abbink et al. 2025,claims_evidence,78.0,70.0,86.0,Main claims are precise and tied to experimental outcomes and regressions with controls and robustness. Good differentiation by headship and marginality. Some reliance on proxy for bargaining power; assignment for rice-only/cash-only WTP introduces assumptions but checked via sensitivity.
Abbink et al. 2025,methods,75.0,66.0,83.0,"Incentive-compatible choice, clear sampling, repeated rounds, RE models with clustering and checks (bounds, interval regression). Exclusion of multiple-switchers reasonable but could bias; no preregistration; limited power for heterogeneity beyond headship; single locale."
Abbink et al. 2025,advancing_knowledge,80.0,71.0,87.0,Shifts discussion from presumed DWL to possible DWG via intra-household bargaining; offers practical insight for choice-based delivery. Adds to literature with incentivized WTP for in-kind. Novel in this context and likely to influence future work and pilots.
Abbink et al. 2025,logic_communication,84.0,76.0,90.0,"Clear motivation, theory link, transparent design and assumptions, figures/tables aid interpretation. Consistent conclusions. Minor complexity around constructed WTP is well explained."
Abbink et al. 2025,open_science,48.0,35.0,60.0,"Ethics approval and procedural detail are provided. However, no explicit data/code availability or preregistration noted. Replication possible with more materials, but current openness is limited."
Abbink et al. 2025,global_relevance,86.0,78.0,92.0,Highly relevant to large-scale safety nets and cash vs in-kind debates in LMICs; directly informative for PDS-like programs and gender-sensitive design. External validity beyond one city is a caveat but policy insight is broad.
Acemoglu et al. 2024,overall,92.0,86.0,96.0,"Ambitious, timely study combining preregistered online RCT with placebo and a very large field experiment linked to admin vote data. Clear effects, careful heterogeneity, and strong robustness. Direct policy relevance for persuasion under authoritarianism. Minor concerns: external validity beyond Türkiye; potential spillovers; limited individual-level outcomes in field."
Acemoglu et al. 2024,claims_evidence,90.0,84.0,95.0,Core claims are clearly stated and supported by experimental estimates with appropriate controls and placebo. Both self-reported and behavioral outcomes strengthen credibility. Multiple robustness checks and first-stage strength documented. Some residual risk of unobserved campaigning contamination and ballot-box aggregation.
Acemoglu et al. 2024,methods,91.0,85.0,95.0,Designs are well-justified; stratified randomization; 2SLS with neighborhood-level instruments; rich covariate sets; heteroskedasticity- and cluster-robust SEs; preregistration. Thoughtful placebo online. Minor limitations: neighborhood-level randomization may face interference; measurement of exposure via canvasser logs.
Acemoglu et al. 2024,advancing_knowledge,93.0,87.0,97.0,"Novel evidence that accurate institutional information shifts votes in an authoritarian-leaning context, with effects concentrated among misinformed and regime supporters. Bridges literatures on persuasion, democratic support, and corruption/media. Scalable insights for practice. High contribution."
Acemoglu et al. 2024,logic_communication,90.0,85.0,95.0,"Clear theory of change, transparent exposition, figures and appendices helpful, limitations acknowledged. Minor density in some sections and many moving parts, but arguments remain coherent and conclusions proportionate to evidence."
Acemoglu et al. 2024,open_science,78.0,68.0,86.0,IRB approvals and AEA registry cited; detailed online supplement and instruments. Admin electoral data are public. Full replication package and raw canvassing microdata may be constrained; not all materials/data availability is explicit in excerpt.
Acemoglu et al. 2024,global_relevance,94.0,88.0,98.0,High salience for democracies under pressure; generalizable mechanisms for combating misinformation about institutions; practical implications for nonpartisan civic campaigns. Strong applicability beyond Türkiye with contextual caveats.
Adena and Hager 2024,overall,85.0,78.0,91.0,"Large geo-randomized Facebook field experiment with high external validity, credible causal identification, and practical ROI analysis. Strong results on frequency and suggestive revenue gains; careful consideration of substitution and spillovers. Minor limitations: some revenue effects marginal, privacy limits on data sharing, Germany-specific context."
Adena and Hager 2024,claims_evidence,80.0,72.0,88.0,"Core questions are clear; outcomes defined at PLZ-day with total donations across channels, reducing substitution bias. Frequency effects are precise; revenue effects weaker but consistent. Evidence on crowding out is suggestive to moderate. Robustness includes blocking, DiD, randomization inference, spillovers."
Adena and Hager 2024,methods,82.0,75.0,89.0,"Geo-randomized blocking, preregistration, comprehensive outcomes, winsorization justified, multiple specs incl. DiD and RI. Sensible handling of spillovers and heterogeneity. Some reliance on p<0.1 for revenue, semi-aggregated platform metrics, and unavoidable privacy aggregation constraints."
Adena and Hager 2024,advancing_knowledge,83.0,75.0,90.0,"Advances understanding of online fundraising effectiveness using nation-scale randomization, measures total donations, and documents substitution across charities. Offers actionable insights on targeting and algorithm allocation. Adds to literature beyond platform-only studies."
Adena and Hager 2024,logic_communication,85.0,78.0,92.0,"Clear structure, transparent assumptions, detailed design and outcome definitions, figures/tables informative. Links intermediate metrics to final outcomes and discusses managerial implications without overclaiming."
Adena and Hager 2024,open_science,70.0,60.0,80.0,"Preregistered design and extensive online appendix. However, individual-level data cannot be shared; PLZ-level data from partners likely restricted. Methods are replicable conceptually; full replication would require data access agreements."
Adena and Hager 2024,global_relevance,78.0,70.0,86.0,High practical relevance for nonprofits and digital advertisers; cost-effectiveness estimates and targeting guidance. External validity strong within similar high-income contexts; policy relevance moderate for broader global priorities.
Aghion et al. 2017,overall,92.0,85.0,97.0,"Strong, timely synthesis with clear modeling linking AI, automation, Baumol effects, and singularities. Credible authorship, careful framing, and useful agenda-setting. Limitations: largely theoretical with stylized simulations; limited empirical validation and reproducibility resources."
Aghion et al. 2017,claims_evidence,88.0,80.0,94.0,Claims are clearly scoped as exploratory; results follow from transparent assumptions. Evidence is primarily theoretical derivations and calibrated simulations; limited empirical tests and sensitivity to alternative mechanisms acknowledged but not fully explored.
Aghion et al. 2017,methods,85.0,75.0,92.0,"Solid, well-grounded growth-theory modeling (task-based, CES, Schumpeterian variants) with logical consistency checks and parameter explorations. Some knife-edge cases noted. Robustness partly discussed; no formal estimation or preregistration; simulations illustrative."
Aghion et al. 2017,advancing_knowledge,94.0,88.0,98.0,"Frames a coherent agenda on AI-growth; integrates automation, Baumol, idea production, and singularity scenarios; offers testable insights and sectoral angles. Influential for macro/innovation policy debates. High conceptual contribution despite limited empirics."
Aghion et al. 2017,logic_communication,93.0,86.0,97.0,"Clear structure, motivating questions, and derivations; intuitive exposition of mechanisms; figures aid understanding. Assumptions and limitations are explicit. Minor density in sections but overall highly readable for the target audience."
Aghion et al. 2017,open_science,60.0,40.0,75.0,"Working paper with equations and described simulations, but no shared code/data or replication package. Citations comprehensive. Reproducibility feasible for theorists yet not turn-key. Could improve with posted code and parameter files."
Aghion et al. 2017,global_relevance,90.0,82.0,96.0,"Directly relevant to macro growth, labor shares, automation policy, and AI governance. Offers frameworks for practitioners to anticipate sectoral and organizational impacts. Quantified policy estimates are limited; guidance is conceptual."
Akram et al. 2017,overall,92.0,88.0,96.0,"Ambitious, well-executed saturation RCT on seasonal migration with rich HF data, employer and shopkeeper modules, and clear GE analysis. Strong internal validity, coherent theory-empirics, practical insights. Some limitations on external validity and mixed significance for certain employer outcomes."
Akram et al. 2017,claims_evidence,90.0,85.0,95.0,"Main claims—emigration boosts migrant/non-migrant incomes, raises ag wages, modest price effects—are tightly linked to randomized variation and first-stage migration shocks. Multiple data sources triangulate. Some employer profit/yield results are imprecise; destination wage effects inferred indirectly."
Akram et al. 2017,methods,89.0,84.0,93.0,"Cluster saturation design, IV leveraging village intensity, HF panels minimize recall, multiple markets surveyed. Appropriate clustering and IV diagnostics. Some reliance on retrospective employer data; instruments weak in a few subsamples; assumptions on closed village labor markets reasonable but not ironclad."
Akram et al. 2017,advancing_knowledge,92.0,87.0,96.0,"Rare credible estimates of GE effects of internal migration subsidies; informs debates on labor surplus, policy toward seasonal migration, and spillovers. Extends prior work from partial to GE effects with policy salience."
Akram et al. 2017,logic_communication,91.0,86.0,95.0,"Clear conceptual framework, transparent identification, thorough robustness, results organized logically. Tables and narrative connect mechanisms (complements in migration, wage and hours effects) convincingly."
Akram et al. 2017,open_science,62.0,50.0,72.0,"Trial preregistered and design transparent. However, limited evidence here of public replication files or full data/code release at time of WP. Strong documentation but not exemplary on open materials."
Akram et al. 2017,global_relevance,90.0,85.0,95.0,High policy relevance for LMIC rural labor markets and migration programs; quantifies benefits and distributional effects. Direct implications for program scale-up and anti-migration policies. Context is Bangladesh; mechanisms plausibly broader.
Alatas et al. 2019,overall,86.0,80.0,91.0,Large-scale randomized Twitter campaign with credible identification of endorsement vs reach; solid online effects and suggestive offline impacts. Clear design and analyses. Some external validity and outcome limitations (self-reports; context-specific; mixed offline effects).
Alatas et al. 2019,claims_evidence,88.0,82.0,92.0,Main claims precisely stated and matched to experimental variation. Strong online causal evidence; offline results are framed as suggestive with appropriate caveats and robustness (RI p-values). Measurement limits for behavior acknowledged.
