label_paper_title,status,research_url,doi,main_cause_cat,main_cause_cat_abbrev,secondary_cause_cat,publication_status,working_paper_release_date,topic_subfield,source_main
The value of health - Empirical issues when estimating the monetary value of a QALY based on well-being data,901_PQ_candidate_eval,https://www.econstor.eu/bitstream/10419/224090/1/1727957334.pdf,,,,,,,,
When to release the lockdown: A wellbeing framework for analysing costs and benefits,901_PQ_candidate_eval,https://cep.lse.ac.uk/pubs/download/occasional/op049.pdf,,,,,,,,
Quality adjusted life years based on health and consumption: A summary wellbeing measure for cross‐sectoral economic evaluation,901_PQ_candidate_eval,https://eprints.lse.ac.uk/107065/2/Asaria_quality_adjusted_life_years_health_consumption_published.pdf,,,,,,,,
,,,,,,,,,,
Quality adjusted life years based on health and consumption: A summary wellbeing measure for cross‐sectoral economic evaluation,,https://eprints.lse.ac.uk/107065/2/Asaria_quality_adjusted_life_years_health_consumption_published.pdf,,,,,,,,
"An empirical comparison of well-being measures used
in UK",901_PQ_candidate_eval,https://eprints.whiterose.ac.uk/id/eprint/99499/1/EEPRU%20Report%20-%20Empirical%20comparison%20of%20well-being%20measures%20version%20interim%20report.pdf,,,,,,,,
,,,,,,,,,,
TESTING DAVIT 2,,,https://doi.org/10.1093/epolic/eiae057,,,,,,,
"Life Satisfaction, QALYs, and the Monetary Value of Health. ",901_PQ_candidate_eval,https://eprints.lse.ac.uk/89398/1/Frijters_Life-satisfaction-Published.pdf,,,,,,,,
Feeling good is Feeling better,901_PQ_candidate_eval,https://docs.iza.org/dp13166.pdf,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
How Threatening Are Transformations of Happiness Scales to Subjective Wellbeing Research?,901_PQ_candidate_eval,https://www.econstor.eu/bitstream/10419/232657/1/dp13905.pdf,,,,,,,,
How threatening are transformations of happiness scales,,,,,,,,,,
Wellbeing discussion paper: monetisation of life satisfaction effect sizes,901_PQ_candidate_eval,https://assets.publishing.service.gov.uk/media/60fa91c68fa8f50431ca80da/Wellbeing_guidance_for_appraisal_-_background_paper_reviewing_methods_and_approaches.pdf?utm_source=chatgpt.com,,,,,,,,
An empirical comparison of well-being measures used in the UK,901_PQ_candidate_eval,https://eprints.whiterose.ac.uk/id/eprint/99499/,,,,,,,,
The value of clean water: Experimental evidence from rural India,01_Needs prioritization/assessor rating,https://static1.squarespace.com/static/558eff8ce4b023b6b855320a/t/684f0f6f77cbab454564b1fa/1750011761970/20250615_BJS_Water.pdf,,Development Economics,,,"Working paper/mimeo, not published",,,
TEA of cultivated meat. Future projections for different scenarios,901_PQ_candidate_eval,https://cedelft.eu/wp-content/uploads/sites/2/2021/02/CE_Delft_190254_TEA_of_Cultivated_Meat_FINAL_corrigendum.pdf,,,,,,,,
Preliminary Techno-Economic Assessment of Animal Cell-Based Meat,901_PQ_candidate_eval,https://www.mdpi.com/2304-8158/10/1/3,,,,,,,,
Empirical economic analysis shows cost-effective continuous manufacturing of cultivated chicken using animal-free medium,901_PQ_candidate_eval,https://www.researchgate.net/publication/383304230_Empirical_economic_analysis_shows_cost-effective_continuous_manufacturing_of_cultivated_chicken_using_animal-free_medium,,,,,,,,
A scoping review of cultivated meat techno-economic analyses to inform future research directions for scaled-up manufacturing,901_PQ_candidate_eval,https://www.dropbox.com/scl/fi/61qlktoqhq6yevccfawa4/scoping_cultured_meat_goodwin_s43016-024-01061-3.pdf?rlkey=0c0vxwob181zk43ne2vb9uyxs&e=2&dl=0,,,,,,,,
Systematic assessment of the achieved emission reductions of carbon crediting projects,01_Needs prioritization/assessor rating,https://www.nature.com/articles/s41467-024-53645-z,https://doi.org/10.1038/s41467-024-53645-z,Environmental Economics,,,Published in a top journal,,Climate economics,
Metrics of Subjective Well-Being: Limits and Improvements,,https://www.researchgate.net/publication/321517297_Metrics_of_Subjective_Well-Being_Limits_and_Improvements,,,,,,,,
Nutritional implications of substituting plant-based proteins for meat: evidence from home scan data: Agricultural and Food Economics,901_PQ_candidate_eval,https://agrifoodecon.springeropen.com/articles/10.1186/s40100-024-00324-8,,Markets for products with large externalities (focus: animal agriculture),,,,,,
,,,,,,,,,,
test WELLBY Dup,901_PQ_candidate_eval,,,,,,,,,
Market potential of new plant-based protein alternatives: Insights from four US consumer experiments,901_PQ_candidate_eval,https://onlinelibrary.wiley.com/doi/epdf/10.1002/aepp.13253,,,,,,,,
,,,,,,,,,,
Consumer spending patterns for plant-based meat alternatives,901_PQ_candidate_eval,https://www.researchgate.net/profile/Wenying-Li-4/publication/360479425_Consumer_spending_patterns_for_plant-based_meat_alternatives/links/6283fbbea5268672baf7e079/Consumer-spending-patterns-for-plant-based-meat-alternatives.pdf,,,,,,,,
Meet the Meatless: Demand for New Generation Plant-Based Meat Alternatives,901_PQ_candidate_eval,https://onlinelibrary.wiley.com/doi/abs/10.1002/aepp.13232?casa_token=A7ZhHnu9ovkAAAAA:tvkCjNpceMaBSZZEAT5cbqbrMHOmathLgQsGexoLx6vQMkKYNuWVWmCDf_nlHcX-9cGkcx4XcG-B_MY,,,,,,,,
"Plant-Based versus Conventional Meat in Food Away From Home Settings: Substitution, Complementarity, and Market Impacts",901_PQ_candidate_eval,https://onlinelibrary.wiley.com/doi/epdf/10.1111/agec.70002,,,,,,,,
,,,,,,,,,,
"Price elasticities of meat, fish and plant-based meat substitutes: evidence from store-level Dutch supermarket scanner data",901_PQ_candidate_eval,https://www.econstor.eu/handle/10419/300328,,,,,,,,
,,,,,,,,,,
"Assessing Cross-Price Effects of Meat Alternatives on Beef, Pork, and Chicken Retail Demand in 2022",901_PQ_candidate_eval,https://ag.purdue.edu/cfdas/wp-content/uploads/2023/06/CA1378_061523_Price-Impact-of-Meat-Alternatives-on-Meat-Demand_USDAApproved_logo-added-2.pdf,,,,,,,,
,,,,,,,,,,
Does the advertising of plant-based burgers attract meat consumers?,901_PQ_candidate_eval,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/agr.21916,,,,,,,,
"Price elasticities of meat, fish and plant-based meat substitutes: evidence from store-level Dutch supermarket scanner data",,,,,,,,,,
Test if this entry duplicates,901_PQ_candidate_eval,,,,,,,,,
The Sad Truth about Happiness Scales,901_PQ_candidate_eval,https://open.bu.edu/server/api/core/bitstreams/12666acb-7311-4a94-9b1a-340b39d5705e/content,,,,,,,,
The WELLBY: a new measure of social value and progress,901_PQ_candidate_eval,https://www.nature.com/articles/s41599-024-03229-5,,,,,,,,
"A Handbook for Wellbeing Policy-Making: History, Theory, Measurements, Implementation and Examples (Chapter 4)",901_PQ_candidate_eval,https://academic.oup.com/book/39348,,,,,,,,
"Resolution of the Jacobian Conjecture via
Modular Recursion and Lie-Galois Symmetries",,,,,,,,,Millennium Solutions,
How much will large-scale production of cell-cultured meat cost?,901_PQ_candidate_eval,https://www.researchgate.net/publication/362764455_How_much_will_large-scale_production_of_cell-cultured_meat_cost,,,,,,,,
Scale-up economics for cultured meat,901_PQ_candidate_eval,https://www.openphilanthropy.org/wp-content/uploads/Humbird-Scale%E2%80%90up-economics-for-cultured-meat.pdf,,,,,,,,
Techno-economic modeling and assessment of cultivated meat: Impact of production bioreactor scale,901_PQ_candidate_eval,https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/10.1002/bit.28324,,,,,,,,
Why welfare is good,,,,,,,,,,
Are all meats substitutes? A basket‐and‐expenditure‐based approach.,901_PQ_candidate_eval,Are all meats substitutes? A basket‐and‐expenditure‐based approach.,,,,,,,,
