research,evaluator,criteria,middle_rating,lower_CI,upper_CI,confidence_level,row_created_date
Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,Evaluator 2,overall,75,,,,2025-08-19T07:30:49.573-04:00
Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,Evaluator 2,merits_journal,3.5,,,,2025-08-19T07:30:41.197-04:00
Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,Evaluator 1,overall,85,75,95,,2025-08-19T07:27:35.430-04:00
Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,Evaluator 1,claims,85,75,90,,2025-08-19T07:27:35.430-04:00
Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,Evaluator 1,adv_knowledge,85,75,90,,2025-08-19T07:27:35.430-04:00
Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,Evaluator 1,methods,85,75,90,,2025-08-19T07:27:35.430-04:00
Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,Evaluator 1,logic_comms,90,80,100,,2025-08-19T07:27:35.430-04:00
Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,Evaluator 1,open_sci,85,75,95,,2025-08-19T07:27:35.430-04:00
Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,Evaluator 1,real_world,90,80,100,,2025-08-19T07:27:35.430-04:00
Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,Evaluator 1,gp_relevance,90,80,100,,2025-08-19T07:27:35.430-04:00
Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,Evaluator 1,merits_journal,4,3.7,4.7,,2025-08-19T07:27:35.430-04:00
Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,Evaluator 1,journal_predict,4,3.7,4.7,,2025-08-19T07:27:35.430-04:00
Misperceptions and Demand for Democracy under Authoritarianism,Korhan Kocak,overall,85,70,95,,2025-08-19T06:02:25.670-04:00
Misperceptions and Demand for Democracy under Authoritarianism,Korhan Kocak,claims,90,80,94,,2025-08-19T06:02:25.670-04:00
Misperceptions and Demand for Democracy under Authoritarianism,Korhan Kocak,adv_knowledge,90,75,95,,2025-08-19T06:02:25.670-04:00
Misperceptions and Demand for Democracy under Authoritarianism,Korhan Kocak,methods,75,60,90,,2025-08-19T06:02:25.670-04:00
Misperceptions and Demand for Democracy under Authoritarianism,Korhan Kocak,logic_comms,90,80,95,,2025-08-19T06:02:25.670-04:00
Misperceptions and Demand for Democracy under Authoritarianism,Korhan Kocak,open_sci,30,15,50,,2025-08-19T06:02:25.670-04:00
Misperceptions and Demand for Democracy under Authoritarianism,Korhan Kocak,real_world,90,80,95,,2025-08-19T06:02:25.670-04:00
Misperceptions and Demand for Democracy under Authoritarianism,Korhan Kocak,gp_relevance,90,80,95,,2025-08-19T06:02:25.670-04:00
Misperceptions and Demand for Democracy under Authoritarianism,Korhan Kocak,merits_journal,4.1,3.4,4.4,,2025-08-19T06:02:25.670-04:00
Misperceptions and Demand for Democracy under Authoritarianism,Korhan Kocak,journal_predict,4.3,3,4.7,,2025-08-19T06:02:25.670-04:00
