paper,tier_kind,score,lo,hi,rationale
Abbink et al. 2025,tier_should,3.9,3.4,4.3,Strong field contribution with novel empirical finding and policy resonance; suitable for top field/development or experimental econ journal. Limits on external validity and open science likely preclude top general journal.
Abbink et al. 2025,tier_will,3.5,3.0,4.0,"Likely placement in strong development/field journal; could reach marginal top field with revisions. Real-world processes (scope, sample, openness) may keep it from A-level outlets."
Acemoglu et al. 2024,tier_should,4.5,4.2,4.8,"Should place in a marginal A/top field or top general if positioned as political economy of democratization with large-scale field evidence. Rigor, novelty, and importance justify a 4.5 (e.g., RESTUD/QJE/AER-Insights/AEJ Applied)."
Acemoglu et al. 2024,tier_will,4.2,3.8,4.6,"Given topic and authorship, likely in a top field or marginal A-journal (e.g., AEJ Applied, AER: Insights). Some outlets may hesitate on external validity/interference; nonetheless prospects are strong."
Adena and Hager 2024,tier_should,4.1,3.6,4.5,"Merits a top field/marginal A-journal (e.g., AEJ Applied, Management Science, JPubE) given scale, design, and actionable insights despite some marginal revenue significance and data limits."
Adena and Hager 2024,tier_will,3.6,3.0,4.2,Likely to land in a strong field or top B-journal in applied/marketing/nonprofit economics. Real-world publication frictions and data-sharing constraints may push slightly below ideal.
Aghion et al. 2017,tier_should,4.3,3.9,4.7,"Should land in a top field journal or marginal general-interest venue given conceptual advance and synthesis (e.g., top innovation/growth or macro field journal). Strength in theory and agenda-setting; lack of empirics lowers likelihood of top-5 general."
Aghion et al. 2017,tier_will,4.0,3.5,4.4,"Likely outcome is strong/top field journal or high-profile proceedings/outlet. Author reputation boosts placement; theoretical focus without new empirical identification reduces probability of top-5 general, but remains competitive in leading field outlets."
Akram et al. 2017,tier_should,4.4,4.0,4.8,"Merits a top field/marginal general journal given methodological rigor, novelty, and policy significance (e.g., AEJ Applied, JDE, Restud/AEJ possible). Clear contribution beyond prior work."
Akram et al. 2017,tier_will,4.1,3.6,4.5,Likely placement in a strong top field journal; general journals possible but uncertain given niche and mixed precision on some outcomes. Real-world publication frictions suggest top field over A-journal.
Alatas et al. 2019,tier_should,4.0,3.6,4.4,"Strong, novel causal design with clear policy relevance; suitable for top field journals (AEJ Applied/Policy, Management Science, JDE) or interdisciplinary outlets. Not quite at top general journals due to modest offline outcomes."
Alatas et al. 2019,tier_will,3.7,3.2,4.1,Likely in top field or strong interdisciplinary venue. Real-world publication frictions (mixed offline effects; platform specificity) may lower odds of A-journal general outlets.
Alcott et al. 2024,tier_should,4.4,4.0,4.8,Merits a top field or marginal general-interest outlet given theoretical contribution plus empirical demonstration. Strong rigor and policy relevance; some external validity/assumption caveats keep it just shy of top general journals.
Alcott et al. 2024,tier_will,4.0,3.5,4.5,"Likely placement in a top field journal (e.g., JPubE/AEJ:Policy) or marginal A journal. Landing in a top general journal is possible but less likely given empirical external-validity limits and niche focus on welfare of nudges."
Angrist et al. 2023,tier_should,4.3,3.8,4.7,"Should place in a top field/marginal general-interest outlet (e.g., JDE, AEJ Applied, World Bank Econ Review). Strong design, external validity, and policy relevance with clear contribution to education-in-emergencies and scale literature."
Angrist et al. 2023,tier_will,4.0,3.5,4.5,"Likely outcome is a strong field or marginal A-journal given topic and authorship; cross-country RCT with gov scale is attractive, but education focus may limit top-5 odds. High chance of publication in top field or development/policy journals."
Arora et al. 2023,tier_should,4.3,4.0,4.6,"Merits a top field/marginal general journal (e.g., Management Science, RAND, REStat, AEJ Applied). Novel identification, big data construction, and substantive contribution to innovation economics and strategy warrant A-level consideration."
Arora et al. 2023,tier_will,4.1,3.7,4.5,Likely to land in a top field outlet. General journals possible but uncertain given niche and policy angle; complexity and U.S.-specific IV may limit general interest. Strong chance at Management Science/REStat/RAND-type journals.
Bahar et al. 2022,tier_should,4.3,3.7,4.7,"Methodologically innovative and policy-relevant with strong evidence; suitable for top field or marginal general-interest applied outlets (e.g., AEJ Applied, JDE, RESTAT). Minor identification complexities may deter top general journals."
Bahar et al. 2022,tier_will,4.0,3.4,4.5,Likely to land in a top field journal given topic and rigor. Real-world publication dynamics and data access limits may push away from top general journals but still strong prospects in leading field outlets.
