paper,metric,metric_type,value,lo,hi,scale_min,scale_max
Adena and Hager 2024,overall,percentile,87.0,87.0,87.0,0,100
Adena and Hager 2024,claims_evidence,percentile,83.0,83.0,83.0,0,100
Adena and Hager 2024,methods,percentile,85.0,85.0,85.0,0,100
Adena and Hager 2024,advancing_knowledge,percentile,79.0,79.0,79.0,0,100
Adena and Hager 2024,logic_communication,percentile,90.0,90.0,90.0,0,100
Adena and Hager 2024,open_science,percentile,55.0,55.0,55.0,0,100
Adena and Hager 2024,global_relevance,percentile,78.0,78.0,78.0,0,100
Adena and Hager 2024,tier_should,tier,4.1,4.1,4.1,0,5
Adena and Hager 2024,tier_will,tier,3.8,3.8,3.8,0,5
Green et al. 2025,overall,percentile,82.0,82.0,82.0,0,100
Green et al. 2025,claims_evidence,percentile,78.0,78.0,78.0,0,100
Green et al. 2025,methods,percentile,74.0,74.0,74.0,0,100
Green et al. 2025,advancing_knowledge,percentile,80.0,80.0,80.0,0,100
Green et al. 2025,logic_communication,percentile,86.0,86.0,86.0,0,100
Green et al. 2025,open_science,percentile,92.0,92.0,92.0,0,100
Green et al. 2025,global_relevance,percentile,85.0,85.0,85.0,0,100
Green et al. 2025,tier_should,tier,4.3,4.3,4.3,0,5
Green et al. 2025,tier_will,tier,4.0,4.0,4.0,0,5
Kudymowa et al. 2023,overall,percentile,72.0,72.0,72.0,0,100
Kudymowa et al. 2023,claims_evidence,percentile,73.0,73.0,73.0,0,100
Kudymowa et al. 2023,methods,percentile,66.0,66.0,66.0,0,100
Kudymowa et al. 2023,advancing_knowledge,percentile,64.0,64.0,64.0,0,100
Kudymowa et al. 2023,logic_communication,percentile,78.0,78.0,78.0,0,100
Kudymowa et al. 2023,open_science,percentile,64.0,64.0,64.0,0,100
Kudymowa et al. 2023,global_relevance,percentile,82.0,82.0,82.0,0,100
Kudymowa et al. 2023,tier_should,tier,3.0,3.0,3.0,0,5
Kudymowa et al. 2023,tier_will,tier,2.7,2.7,2.7,0,5
Peterman et al. 2025,overall,percentile,86.0,86.0,86.0,0,100
Peterman et al. 2025,claims_evidence,percentile,84.0,84.0,84.0,0,100
Peterman et al. 2025,methods,percentile,82.0,82.0,82.0,0,100
Peterman et al. 2025,advancing_knowledge,percentile,86.0,86.0,86.0,0,100
Peterman et al. 2025,logic_communication,percentile,80.0,80.0,80.0,0,100
Peterman et al. 2025,open_science,percentile,76.0,76.0,76.0,0,100
Peterman et al. 2025,global_relevance,percentile,92.0,92.0,92.0,0,100
Peterman et al. 2025,tier_should,tier,4.4,4.4,4.4,0,5
Peterman et al. 2025,tier_will,tier,4.2,4.2,4.2,0,5
Williams et al. 2024,overall,percentile,86.0,86.0,86.0,0,100
Williams et al. 2024,claims_evidence,percentile,78.0,78.0,78.0,0,100
Williams et al. 2024,methods,percentile,74.0,74.0,74.0,0,100
Williams et al. 2024,advancing_knowledge,percentile,92.0,92.0,92.0,0,100
Williams et al. 2024,logic_communication,percentile,84.0,84.0,84.0,0,100
Williams et al. 2024,open_science,percentile,63.0,63.0,63.0,0,100
Williams et al. 2024,global_relevance,percentile,94.0,94.0,94.0,0,100
Williams et al. 2024,tier_should,tier,4.4,4.4,4.4,0,5
Williams et al. 2024,tier_will,tier,4.8,4.8,4.8,0,5
